fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_df9.artifactOther,artifactOther,shellTot,0.0,14.0,0
tmp_df9.artifactOther,artifactOther,shellWorked,0.0,4.0,0
tmp_df9.artifactOther,artifactOther,unworkedBone,0.0,10.0,0
tmp_df9.complexMacroData,complexMacroData,SSN,0.0,-1.0,0
tmp_df9.archMaterial,archMaterial,taludes,0.0,7.0,0
tmp_df9.complexMacroData,complexMacroData,macroComplexUnit,0.0,9.0,0
tmp_df9.complexMacroData,complexMacroData,macroComplexNum,0.0,2.0,0
tmp_df9.complexMacroData,complexMacroData,presPaTz,0.0,4.0,0
tmp_df9.complexMacroData,complexMacroData,presMcTl,0.0,4.0,0
tmp_df9.complexMacroData,complexMacroData,presXlMt,0.0,4.0,0
tmp_df9.complexMacroData,complexMacroData,funcIntPaTz,0.0,3.0,0
tmp_df9.complexMacroData,complexMacroData,funcIntMcTl,0.0,5.0,0
tmp_df9.complexMacroData,complexMacroData,funcIntXlMt,0.0,5.0,0
tmp_df9.workshop,workshop,SSN,0.0,-1.0,0
tmp_df9.workshop,workshop,groundstoneField,0.0,6.0,0
tmp_df9.workshop,workshop,obsidianField,0.0,6.0,0
tmp_df9.workshop,workshop,ceramicField,0.0,6.0,0
tmp_df9.workshop,workshop,obsidianSpencePhase1,0.0,6.0,0
tmp_df9.workshop,workshop,obsidianSpencePhase2,0.0,4.0,0
tmp_df9.workshop,workshop,ceramicKrotser,0.0,3.0,0
tmp_df9.workshop,workshop,figurineConcBarbour,0.0,3.0,0
tmp_df9.archMaterial,archMaterial,SSN,0.0,-1.0,0
tmp_df9.archMaterial,archMaterial,stoneQuant,0.0,11.0,0
tmp_df9.archMaterial,archMaterial,stoneDist,0.0,5.0,0
tmp_df9.archMaterial,archMaterial,stoneCut,0.0,1.0,0
tmp_df9.archMaterial,archMaterial,lajas,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,tepetate,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,adobe,0.0,7.0,0
tmp_df9.archMaterial,archMaterial,xalnene,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,cascajo,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,concrete,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,plasterPaint,0.0,7.0,0
tmp_df9.archMaterial,archMaterial,plasterUnpaint,0.0,7.0,0
tmp_df9.archMaterial,archMaterial,burntClay,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,almena,0.0,16.0,0
